,metro,latitude,longitude,line,angle
0,LA MONEDA,0.7184001256994029,0.4817479219422634,1,77.63829667457448
1,ESCUELA MILITAR,0.8545596592148896,0.8204774590742264,1,79.17251195601668
2,SAN ALBERTO HURTADO,0.6784015223596567,0.3065594140959827,1,77.80417807523963
3,UNIVERSIDAD DE CHILE,0.7233739819656146,0.50445735157068,1,77.56745807558208
4,HOSPITAL SOTERO DEL RIO,0.14440157473441567,0.8245959201348017,4,-11.965033356700559
5,VICUNA MACKENNA,0.3923960579264911,0.7601408278342048,0,5.890637
6,ZAPADORES,1.004132804930215,0.5418765120635466,2,-15.267700778401647
7,CAL Y CANTO,0.8217900819664985,0.49453068371160086,2,59.152366535572156
8,SANTA ANA L2,0.7933361848479796,0.4499232789539945,2,41.20804430481092
9,VICENTE VALDES,0.36317530704702916,0.7569072475501055,0,87.3328444182343
10,LA CISTERNA L2,0.3124250386263925,0.44150890999632625,2,14.558959123375892
11,SANTA LUCIA,0.728253563665897,0.526442873415005,1,72.5917662053199
12,PLAZA DE PUENTE ALTO,0.0,0.855048997919553,4,-13.46462454814384
13,RODRIGO DE ARAYA,0.576257648897097,0.6366105300812304,5,-17.127440324144466
14,BARRANCAS,0.6847039516755522,0.08731137448344455,5,-9.175290250594136
15,SAN MIGUEL,0.5270166464442064,0.49042634308904565,2,15.166476153066116
16,PAJARITOS,0.661519391754479,0.196707113876685,1,-72.71855899028654
17,LAS REJAS,0.6651157918626956,0.2428903595063908,1,83.64639800294898
18,PLAZA MAIPU,0.4336774064019431,0.0028584473166395714,5,37.40910438976086
19,CARLOS VALDOVINOS,0.5407955725870744,0.6491400653305535,5,-19.919044725697486
20,MACUL,0.4371751673809721,0.788417946135222,4,26.322235811165523
21,IRARRAZAVAL,0.6824898087448247,0.6052325636125251,5,-17.061501574419466
22,NEPTUNO,0.6896053561920011,0.1641736249047498,1,-30.58940904839444
23,PLAZA DE ARMAS,0.776957506612333,0.5037042615481431,5,79.22144093363933
24,QUILIN,0.5305039324714657,0.8346873264362208,4,24.017996507463042
25,DORSAL,0.9785433706648798,0.5407657042803565,2,2.896288574770677
26,GRECIA,0.6142162553793064,0.8433243276318168,4,9.621680904453951
27,BELLAS ARTES,0.7802946516642127,0.5230662060265641,5,-89.80516993750193
28,BAQUEDANO L1,0.7516803568466965,0.5852083705956228,1,59.95115191208502
29,LOS PRESIDENTES,0.5663020801508459,0.8418369748373916,4,5.890636912387731
30,ECUADOR,0.6699604570570679,0.2725150382664118,1,78.21330370836729
31,UNIVERSIDAD DE SANTIAGO,0.6837131958204801,0.336146438354907,1,79.68472927837668
32,ESTACION CENTRAL,0.6902465105316741,0.37163957111520013,1,76.20176639684918
33,PUDAHUEL,0.7439177628994812,0.07928625893125602,5,-5.917920429751685
34,REPUBLICA,0.7052915964699351,0.4133005111598625,1,76.49609690539734
35,MANQUEHUE,0.874204558349854,0.8888015513654737,1,77.68652493320666
36,SAN JOAQUIN,0.4812782059899011,0.6567740447523847,5,-18.09971444837698
37,RONDIZONNI,0.6088740299758311,0.4764988844853772,2,-19.042838947860492
38,LOS HEROES L1,0.7119837812830249,0.4524861384367604,1,79.1584201804904
39,GRUTA DE LOURDES,0.7725842142476701,0.3140809006956929,5,87.59163245174588
40,LAS PARCELAS,0.5855192520884344,0.08248218471419172,5,21.68451283656278
41,LO OVALLE,0.4030543213540479,0.4653154976513497,2,15.097338436294269
42,MIRADOR,0.42166481900157565,0.710653399730768,5,-49.438270361873485
43,VESPUCIO NORTE,1.05,0.5212606726976609,2,2.4855831723858004
44,SANTA ANA L5,0.7683361848479796,0.4602500258874523,5,84.95984019287052
45,SALVADOR,0.7700835377403771,0.6061809863596226,1,59.295653261741954
46,CIUDAD DEL NINO,0.4337721174242014,0.4740089805985573,2,16.67309398956214
